eyelib-test-fixation,2019-10-02T16:39:26
timestamp (ms),epoch (ms),target duration (ms),,,DT points,DT dmax,VT dmax
21278232,1570048766898,750,750,0,4,30,7
eye tracker,,target,,,raw gaze,,smoothed gaze,,fixation detection,,,,,fixation on object (ET)
timestamp (ms),tracking,x,y,active,x,y,x,y,ET,DT,dispersion,VT,displacement,target ID,fixation point error,count of fixations,sum duration (ms),average duration (ms),interval (ms)
238220558,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220574,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220591,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220608,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220624,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220641,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220658,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220674,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220691,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220708,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220724,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220741,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220758,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220774,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220791,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220808,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220824,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220841,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220858,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220874,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220891,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220908,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220924,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220941,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220957,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220974,false,0,0,false,0,0,0,0,false,false,0,false,0,
238220991,false,0,0,false,0,0,0,0,false,false,0,false,0,
238221008,false,0,0,false,0,0,0,0,false,false,0,false,0,
238221024,false,0,0,false,0,0,0,0,false,false,0,false,0,
238221041,false,0,0,false,0,0,0,0,false,false,0,false,0,
238221057,false,0,0,false,0,0,0,0,false,false,0,false,0,
238221074,false,0,0,false,0,0,0,0,false,false,0,false,0,
238221091,false,0,0,false,0,0,0,0,false,false,0,false,0,
238221107,false,0,0,false,0,0,0,0,false,false,0,false,0,
238221124,false,0,0,false,0,0,0,0,false,false,0,false,0,
238221140,false,0,0,false,0,0,0,0,false,false,0,false,0,
238221157,false,0,0,false,0,0,0,0,false,false,0,false,0,
238221174,false,0,0,false,0,0,0,0,false,false,0,false,0,
238221190,false,0,0,false,0,0,0,0,false,false,0,false,0,
238221208,false,0,0,false,0,0,0,0,false,false,0,false,0,
238221224,false,0,0,false,0,0,0,0,false,false,0,false,0,
238221241,false,0,0,false,0,0,0,0,false,false,0,false,0,
238221257,false,0,0,false,0,0,0,0,false,false,0,false,0,
238221275,false,0,0,false,0,0,0,0,false,false,0,false,0,
