eyelib-datalog,2016-10-10T16:31:12
time_sync_ms,timestamp,time_ms,tracking.bits,tracking.gaze,tracking.eyes,tracking.user,tracking.fail,tracking.lost,fixation,raw_px.x,raw_px.y,avg_px.x,avg_px.y,pupil_left.center.x,pupil_left.center.y,pupil_left.size,pupil_right.center.x,pupil_right.center.y,pupil_right.size
28664034,2016-10-10 16:31:12.629,810206453,0x07,true,true,true,false,false,false,932.096,407.742,932.096,407.742,0.4325,0.479,20.0819,0.5625,0.4698,18.8091
28664065,2016-10-10 16:31:12.662,810206486,0x07,true,true,true,false,false,false,980.638,551.437,980.638,551.437,0.4345,0.4783,21.144,0.5638,0.47,22.2605
28664097,2016-10-10 16:31:12.696,810206520,0x07,true,true,true,false,false,false,998.537,578.441,985.124,558.205,0.4363,0.4774,21.3573,0.5654,0.4694,22.5264
28664143,2016-10-10 16:31:12.729,810206553,0x07,true,true,true,false,false,false,944.878,555.26,961.945,564.253,0.4376,0.4765,21.0629,0.5668,0.4683,22.4909
28664175,2016-10-10 16:31:12.763,810206587,0x07,true,true,true,false,false,false,1003.04,545.762,967.398,562.883,0.4392,0.4763,19.8716,0.568,0.4681,22.7271
28664206,2016-10-10 16:31:12.796,810206620,0x07,true,true,true,false,false,false,1021.08,505.277,961.739,564.68,0.4403,0.4759,19.0409,0.5689,0.4682,22.368
28664237,2016-10-10 16:31:12.829,810206653,0x07,true,true,true,false,false,true,1004.92,553.09,977.906,555.883,0.441,0.476,19.8992,0.5696,0.4681,22.8233
28664268,2016-10-10 16:31:12.863,810206687,0x07,true,true,true,false,false,true,992.132,583.713,980.901,557.893,0.4414,0.4755,21.0693,0.5699,0.4676,23.4696
28664299,2016-10-10 16:31:12.896,810206720,0x07,true,true,true,false,false,true,997.495,490.194,984.86,553.9,0.4416,0.4741,19.8961,0.57,0.4664,23.2536
28664331,2016-10-10 16:31:12.929,810206753,0x07,true,true,true,false,false,true,1001.38,571.054,987.331,551.456,0.4416,0.4734,20.5869,0.5698,0.4659,23.0169
28664362,2016-10-10 16:31:12.963,810206787,0x07,true,true,true,false,false,true,1033.35,576.704,990.915,550.18,0.4414,0.4728,20.3309,0.5695,0.4659,23.5134
28664409,2016-10-10 16:31:12.996,810206820,0x07,true,true,true,false,false,true,1224.63,426.518,993.39,547.774,0.4424,0.4717,20.1542,0.5704,0.465,23.8615
28664440,2016-10-10 16:31:13.029,810206853,0x07,true,true,true,false,false,false,1139.2,443.145,1261.04,384.616,0.4421,0.4717,19.6072,0.5695,0.4655,22.9836
28664471,2016-10-10 16:31:13.062,810206886,0x07,true,true,true,false,false,false,1117.15,489.703,1099.39,485.058,0.4416,0.4726,20.6929,0.5691,0.4659,23.637
